2021-09-24 17:01:06 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:01:06 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:01:06 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:01:06 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:01:06 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:01:06 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:01:06 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:01:06 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:01:06 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:08:22 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:08:22 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:08:22 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:08:22 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:08:22 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:08:22 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:08:22 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:08:22 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:08:22 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:09:34 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:09:34 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:09:34 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:09:34 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:09:34 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:09:34 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:09:34 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:09:34 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:09:34 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:09:54 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:09:54 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:09:54 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:09:54 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:09:54 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:09:54 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:09:54 DEBUG Config - Config.get(instrumenting, fixes) = true
2021-09-24 17:09:54 DEBUG Config - Config.get(instrumenting, hits) = true
2021-09-24 17:09:54 DEBUG Config - Config.get(helper, cutoff) = 
2021-09-24 17:10:11 DEBUG Config - Config.get(helper, instrument) = true
2021-09-24 17:10:11 DEBUG Config - Config.get(helper, seed) = 0
2021-09-24 17:10:11 DEBUG Config - Config.get(instrumenting, copies) = true
2021-09-24 17:10:11 DEBUG Config - Config.get(instrumenting, swaps) = true
2021-09-24 17:10:11 DEBUG Config - Config.get(instrumenting, compares) = true
2021-09-24 17:10:11 DEBUG Config - Config.get(instrumenting, inversions) = 1
2021-09-24 17:10:11 DEBUG Config - Config.get(instrumenting, fixes) = true
